show,date,first_name,last_name,gender,party
This Week,6/8/14,Hillary,Clinton,f,Democrat
This Week,6/8/14,Mike,Rogers,m,Republican
This Week,6/8/14,Mike,Rogers,m,Republican
Face the Nation,6/15/14,Lindsey,Graham,m,Republican
Fox News Sunday,6/15/14,Tom,Price,m,Republican
Fox News Sunday,6/15/14,Jane,Harman,f,Democrat
Fox News Sunday,6/15/14,Greg,Walden,m,Republican
Fox News Sunday,6/15/14,Mike,Rogers,m,Republican
Fox News Sunday,6/15/14,Mike,Rogers,m,Republican
Meet the Press,6/15/14,Peter,King,m,Republican
Meet the Press,6/15/14,Harold,Ford,m,Democrat
Meet the Press,6/15/14,Harold,Ford,m,Democrat
State of the Union,6/15/14,Adam,Kinzinger,m,Republican
State of the Union,6/15/14,Tulsi,Gabbard,f,Democrat
State of the Union,6/15/14,Eric,Cantor,m,Republican
This Week,6/15/14,Michael,McCaul,m,Republican
This Week,6/15/14,Eric,Cantor,m,Republican
Face the Nation,6/22/14,Mike,Rogers,m,Republican
Face the Nation,6/22/14,Mike,Rogers,m,Republican
Face the Nation,6/22/14,Marco,Rubio,m,Republican
Fox News Sunday,6/22/14,Kevin,McCarthy,m,Republican
Meet the Press,6/22/14,Michael,McCaul,m,Republican
Meet the Press,6/22/14,Rand,Paul,m,Republican
State of the Union,6/22/14,Rand,Paul,m,Republican
State of the Union,6/22/14,Dianne,Feinstein,f,Democrat
This Week,6/22/14,Adam,Kinzinger,m,Republican
This Week,6/22/14,Keith,Ellison,m,Democrat
Face the Nation,6/29/14,John,Barrasso,m,Republican
Fox News Sunday,6/29/14,Xavier,Becerra,m,Democrat
Meet the Press,6/29/14,Sean,Duffy,m,Republican
State of the Union,6/29/14,Darrell,Issa,m,Republican
State of the Union,6/29/14,Mike,Rogers,m,Republican
State of the Union,6/29/14,Mike,Rogers,m,Republican
This Week,6/29/14,Peter,King,m,Republican
This Week,6/29/14,Barack,Obama,m,Democrat
Face the Nation,7/6/14,Richard,Durbin,m,Democrat
Face the Nation,7/6/14,John,McCain,m,Republican
Face the Nation,7/6/14,Lindsey,Graham,m,Republican
Fox News Sunday,7/6/14,Darrell,Issa,m,Republican
Fox News Sunday,7/6/14,John,Barrasso,m,Republican
State of the Union,7/6/14,Henry,Cuellar,m,Democrat
Face the Nation,7/13/14,Jane,Harman,f,Democrat
Fox News Sunday,7/13/14,Michael,McCaul,m,Republican
Fox News Sunday,7/13/14,Dennis,Ross,m,Republican
Meet the Press,7/13/14,Joaquin,Castro,m,Democrat
Meet the Press,7/13/14,Mike,Rogers,m,Republican
Meet the Press,7/13/14,Mike,Rogers,m,Republican
State of the Union,7/13/14,Aaron,Schock,m,Republican
State of the Union,7/13/14,Marsha,Blackburn,f,Republican
State of the Union,7/13/14,John,McCain,m,Republican
State of the Union,7/13/14,Donna,Edwards,f,Democrat
Face the Nation,7/20/14,Peter,King,m,Republican
Face the Nation,7/20/14,John,Kerry,m,Democrat
Fox News Sunday,7/20/14,Ted,Cruz,m,Republican
Fox News Sunday,7/20/14,Evan,Bayh,m,Democrat
Fox News Sunday,7/20/14,Bob,Corker,m,Republican
Fox News Sunday,7/20/14,John,Kerry,m,Democrat
Meet the Press,7/20/14,Lindsey,Graham,m,Republican
Meet the Press,7/20/14,John,Kerry,m,Democrat
State of the Union,7/20/14,Michael,McCaul,m,Republican
State of the Union,7/20/14,Robert,Turner,m,Republican
State of the Union,7/20/14,Dianne,Feinstein,f,Democrat
State of the Union,7/20/14,John,Kerry,m,Democrat
This Week,7/20/14,Mike,Rogers,m,Republican
This Week,7/20/14,Mike,Rogers,m,Republican
This Week,7/20/14,John,Kerry,m,Democrat
Face the Nation,7/27/14,Mike,Rogers,m,Republican
Face the Nation,7/27/14,Mike,Rogers,m,Republican
Fox News Sunday,7/27/14,Steve,Scalise,m,Republican
Meet the Press,7/27/14,Paul,Ryan,m,Republican
State of the Union,7/27/14,Nancy,Pelosi,f,Democrat
State of the Union,7/27/14,Lindsey,Graham,m,Republican
State of the Union,7/27/14,Jane,Harman,f,Democrat
State of the Union,7/27/14,Christopher,Murphy,m,Democrat
This Week,7/27/14,Tom,Cole,m,Republican
This Week,7/27/14,Henry,Cuellar,m,Democrat
This Week,7/27/14,John,Cornyn,m,Republican
Face the Nation,8/3/14,Saxby,Chambliss,m,Republican
Fox News Sunday,8/3/14,Steve,King,m,Republican
Fox News Sunday,8/3/14,Hakeem,Jeffries,m,Democrat
Fox News Sunday,8/3/14,Marco,Rubio,m,Republican
Meet the Press,8/3/14,John,Thune,m,Republican
Meet the Press,8/3/14,Keith,Ellison,m,Democrat
State of the Union,8/3/14,Mike,Rogers,m,Republican
State of the Union,8/3/14,Mike,Rogers,m,Republican
This Week,8/3/14,Joaquin,Castro,m,Democrat
This Week,8/3/14,Tim,Scott,m,Republican
